order_id,customer_id,product_id,product_name,price,quantity,region,status,timestamp,date
4bababc9-dc01-456b-af26-c830e9b0ac24,23debbc3-62d8-408c-aa1e-86b8b57a733a,P003,Headphones,150.0,2,Petersonton,placed,2025-04-05 20:39:03,2025-04-05
e9f33dd9-8505-4358-8965-353440445b51,bfd917f9-b458-4bdb-ac1b-f17e57f8d78a,P002,Phone,600.0,1,West Frankland,placed,2025-04-05 20:39:15,2025-04-05
27acce48-39de-4cfd-be02-2cdd81d42fed,f2c94af0-acc9-44be-8ad9-65713509dd6e,P001,Laptop,1000.0,4,New Shawn,cancelled,2025-04-05 20:39:17,2025-04-05
3ab5037c-3c8a-414d-b8be-8e096ce05372,28f102ee-cbb0-4976-b3b9-061b0cb903b0,P004,Shoes,120.0,4,New Nancyview,placed,2025-04-05 20:39:19,2025-04-05
644a1b22-3539-4240-b5be-57801ddcb2a4,76b61ae1-f4ff-4cbd-b8a6-33265bd77a4e,P001,Laptop,1000.0,2,Jocelynport,placed,2025-04-05 20:39:21,2025-04-05
30a377b1-8c93-46a4-81a1-5856879089c9,49ec228e-073c-49ca-8fd8-657194ba3abb,P002,Phone,600.0,4,Zhangmouth,shipped,2025-04-05 20:39:23,2025-04-05
7c6eab65-c4c4-43b8-aa9b-bfee0d709657,057eb4d4-fd5e-4423-9632-4dd644f13ee3,P003,Headphones,150.0,2,East William,shipped,2025-04-05 20:39:25,2025-04-05
2a1f4af3-4e4d-49f9-a367-3ee42ce56438,a29a21c6-38ef-472e-a567-00a770cb7f24,P003,Headphones,150.0,2,Robertfort,placed,2025-04-05 20:39:27,2025-04-05
de5a9139-05c2-4306-b381-821e8affbf9c,fc13f517-caaa-4825-ae2e-af943f1fcc4e,P004,Shoes,120.0,5,Andersonfort,placed,2025-04-05 20:39:29,2025-04-05
9608600e-6e24-4ef6-9ff2-5832ed18ae18,a29d8209-b775-4b2b-8b09-132ea45d1da2,P004,Shoes,120.0,3,East Jenniferborough,cancelled,2025-04-05 20:39:31,2025-04-05
2b0d578b-a265-4a68-a68a-eef93a055654,92c31654-34ae-40b0-ba89-adacb1201eb9,P004,Shoes,120.0,2,Wangtown,shipped,2025-04-05 20:39:33,2025-04-05
1c2a589b-4060-4fcc-8cb7-06498a9f795f,94289d39-f016-47d1-8d74-7b162589cc1e,P002,Phone,600.0,1,Littleborough,placed,2025-04-05 20:39:35,2025-04-05
b4932156-2744-4c7b-ad21-9fe1d53315b7,9e0516a1-3b11-463f-a8af-a9fd236ce6b8,P004,Shoes,120.0,3,North Dennisshire,shipped,2025-04-05 20:39:37,2025-04-05
8523f2f9-8bd2-4841-958f-8e7dc4f86797,cc6d6372-5091-4fd3-8ef9-4e1f85ce5fd0,P001,Laptop,1000.0,5,New Jacobview,placed,2025-04-05 20:39:39,2025-04-05
f31619f2-dff0-4fd6-aae7-5c07d8811fae,1b6d5eba-d77f-4932-9d8e-252b8d3b9266,P005,Backpack,80.0,1,Juliachester,placed,2025-04-05 20:39:41,2025-04-05
872292ae-6f64-49e3-8579-d717870ff1f6,603fe4b5-9a42-40b9-86b9-bcac9bfa38ff,P001,Laptop,1000.0,1,Davidhaven,cancelled,2025-04-05 20:39:43,2025-04-05
3f3c2385-1303-45b8-bb7e-a69bff7d556e,671e28f9-6f93-45aa-847c-8f08dcddb77c,P002,Phone,600.0,4,Port Justinstad,placed,2025-04-05 20:39:45,2025-04-05
7e4025ec-2e51-46f6-b707-603d97912ab7,1f110b02-b402-42bd-8506-51cea3d62e05,P002,Phone,600.0,4,North Davidborough,placed,2025-04-05 20:39:47,2025-04-05
9cfa894a-c143-4250-8a40-3f0361c50bbe,e306a514-f0f7-4aa0-b283-29af2d078543,P002,Phone,600.0,5,New Judyhaven,shipped,2025-04-05 20:39:49,2025-04-05
fe75ca94-5294-47ab-a911-7b93bce2d293,f6f17f4e-8efa-482d-b970-4bedd3259711,P003,Headphones,150.0,1,New Mary,placed,2025-04-05 20:39:51,2025-04-05
cf72edee-e2dd-4de7-b88b-be5ff23d3cf5,08a7df48-5e1e-4f24-96e8-383f624fbe43,P003,Headphones,150.0,5,Lake Dustinside,placed,2025-04-05 20:39:53,2025-04-05
f1786674-6b63-45be-8898-9ca02281717a,24a975aa-6bf6-4764-9c5d-311d9fbe36d4,P003,Headphones,150.0,3,Jasonchester,placed,2025-04-05 20:39:55,2025-04-05
0df682d8-b6f2-4477-aceb-390a43c6681d,0a14759e-b1f6-4436-bb1d-0f878592c363,P003,Headphones,150.0,5,New Geraldville,shipped,2025-04-05 20:39:57,2025-04-05
54e1ef02-2953-485f-8272-7250a02ae2fb,b3a052f6-a153-4ed2-ad28-ad8a481b2c48,P002,Phone,600.0,2,Potterfort,shipped,2025-04-05 20:39:59,2025-04-05
ec4e5485-019d-4f20-8047-9813aa22bbe8,646a88b3-c8c3-43bd-803e-3ae21b4c3ae9,P005,Backpack,80.0,2,Port Nicholastown,placed,2025-04-05 20:40:01,2025-04-05
de531a33-ef87-441c-b408-54796cfafd74,3827c056-e10f-4ab7-a922-62a432b19d2e,P004,Shoes,120.0,5,South Nathan,cancelled,2025-04-05 20:40:03,2025-04-05
8c7ffc91-c853-4418-942c-bc86ed52e086,b6827729-eb66-4fde-8eb0-0f09413bb2fc,P004,Shoes,120.0,3,Walterborough,shipped,2025-04-05 20:40:05,2025-04-05
a4ece1ca-2514-47e7-a213-41db50cd2635,2ca46d81-1c5d-434b-a259-041e88506f1f,P005,Backpack,80.0,2,Melissabury,placed,2025-04-05 20:40:07,2025-04-05
16f1efd8-7cb1-40a6-8584-aa5ad9fdcadc,C686,P004,Shoes,150.0,4,South,shipped,2025-04-09 10:17:31,2025-04-09
0958b992-2bfb-4cba-92ee-9c649eb79756,C905,P002,Headphones,120.0,3,North,placed,2025-04-09 10:17:33,2025-04-09
c8561f5a-2d40-4e2c-8fe5-a008b711bfd8,C474,P001,Headphones,120.0,5,South,cancelled,2025-04-09 10:17:35,2025-04-09
51833264-dc5a-4f61-9bc6-f4f4c118af22,C180,P001,Headphones,120.0,3,South,shipped,2025-04-09 10:17:37,2025-04-09
23ae3460-5750-4dfa-a3f7-767da1560df9,C750,P001,Headphones,600.0,3,North,placed,2025-04-09 10:17:39,2025-04-09
42394e52-2cda-4017-b02d-14b1c25a8fee,C991,P004,Laptop,600.0,3,North,placed,2025-04-09 10:17:41,2025-04-09
848a1972-4094-4e69-b6e8-f8d1352680a8,C950,P004,Phone,150.0,4,East,shipped,2025-04-09 10:17:43,2025-04-09
56cdf4d5-5749-4a19-9989-f6445a1b8a73,C895,P004,Headphones,120.0,1,East,cancelled,2025-04-09 10:17:45,2025-04-09
a58144b1-f728-4342-acf2-d88d82ae7475,C239,P002,Headphones,120.0,1,East,placed,2025-04-09 10:17:47,2025-04-09
097c2486-0140-4484-93f4-18aa916f2ae7,C126,P004,Headphones,1000.0,2,East,placed,2025-04-09 10:17:49,2025-04-09
47872915-2798-4f55-8aa0-7f395f8cbc42,C642,P003,Headphones,120.0,1,East,cancelled,2025-04-09 10:17:51,2025-04-09
69dd964f-9deb-4987-a822-06debe71daec,C985,P004,Headphones,600.0,4,North,placed,2025-04-09 10:17:53,2025-04-09
dba40a89-1f1f-4294-9952-36442164eb68,C665,P004,Shoes,1000.0,3,West,placed,2025-04-09 10:17:55,2025-04-09
2bb5463d-c64a-4e0b-adcf-813dd2e0b54d,C812,P004,Shoes,150.0,4,East,cancelled,2025-04-09 10:17:57,2025-04-09
bc03d8a1-d552-4e88-ab1a-0bee8f3a5c13,C886,P001,Headphones,1000.0,4,South,cancelled,2025-04-09 10:17:59,2025-04-09
793ed992-2edd-47e4-8739-77d9bf2fcf80,C945,P002,Laptop,150.0,2,West,cancelled,2025-04-09 10:18:01,2025-04-09
fdff14aa-c26f-4a0e-a8b6-574ee8117319,C878,P001,Shoes,600.0,3,East,cancelled,2025-04-09 10:18:03,2025-04-09
4925d8b8-8d8d-4dfd-aaf9-17ff2f08300b,C404,P004,Headphones,1000.0,5,South,placed,2025-04-09 10:18:05,2025-04-09
04c59214-2c8d-49c3-b38e-68b897294c9a,C344,P003,Shoes,1000.0,1,North,shipped,2025-04-09 10:18:07,2025-04-09
5f88b5d7-2196-401a-abe1-6c2fe7c9cbff,C237,P001,Shoes,1000.0,4,South,shipped,2025-04-09 10:18:09,2025-04-09
541d5267-a1a3-463d-aaf6-5d644afa10fa,C914,P002,Phone,600.0,2,West,shipped,2025-04-09 10:18:11,2025-04-09
ca1d260c-d584-463f-a3a2-24110558f7e8,C112,P004,Laptop,120.0,4,East,cancelled,2025-04-09 10:18:13,2025-04-09
6978313e-99fc-4286-95ea-8448a512269a,C232,P004,Headphones,150.0,3,South,placed,2025-04-09 10:18:15,2025-04-09
